job_title,job_company,job_location,job_time,job_antiquity,job_type,job_url,job_sector,job_role
Consultor/a Junior para Evaluación de Riesgos Financieros,EY,"Buenos Aires, Provincia de Buenos Aires, Argentina",Hace 2 semanas,Sin experiencia,Jornada completa,https://ar.linkedin.com/jobs/view/consultor-a-junior-para-evaluaci%C3%B3n-de-riesgos-financieros-at-ey-2322529987?refId=8bcdc8ba-6d97-46b5-8708-71c6856ce231&trackingId=FD0mA6%2BgQkki%2BP%2BOaH7F%2BA%3D%3D&position=23&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Contabilidad,Educación
Desarrolladora / Desarrollador de Software Backend para IT BOOTCAMP,Mercado Libre,Argentina,Hace 1 semana,Sin experiencia,Jornada completa,https://ar.linkedin.com/jobs/view/desarrolladora-desarrollador-de-software-backend-para-it-bootcamp-at-mercado-libre-2314359497?refId=8bcdc8ba-6d97-46b5-8708-71c6856ce231&trackingId=gc1x8Pzedwan6b%2FCaeDMnQ%3D%3D&position=19&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Internet,Tecnología de la información
Technical Solutions Consultant,Google,"Buenos Aires, Provincia de Buenos Aires, Argentina",Hace 4 semanas,No corresponde,Jornada completa,https://ar.linkedin.com/jobs/view/technical-solutions-consultant-at-google-2272639721?refId=8bcdc8ba-6d97-46b5-8708-71c6856ce231&trackingId=jhoHMbacbUW%2BSoj5h4jxyQ%3D%3D&position=20&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Servicio de información,Tecnología de la información
Data Scientist,Nestlé,"Buenos Aires, Provincia de Buenos Aires, Argentina",Hace 4 días,No corresponde,Jornada completa,https://ar.linkedin.com/jobs/view/data-scientist-at-nestl%C3%A9-2332197504?refId=8bcdc8ba-6d97-46b5-8708-71c6856ce231&trackingId=MhM1vAOWlLaCO8%2FMF8UGPw%3D%3D&position=24&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Artículos de consumo,Análisis
Backend Python Developer,Nubi,"Vicente López, Provincia de Buenos Aires, Argentina",Hace 2 meses,Sin experiencia,Jornada completa,https://ar.linkedin.com/jobs/view/backend-python-developer-at-nubi-2292017858?refId=8bcdc8ba-6d97-46b5-8708-71c6856ce231&trackingId=X6d8bUHQKKgIxV6jc%2Bu6fA%3D%3D&position=18&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Servicios y tecnologías de la información ,Ingeniería
PYTHON DEV,Staffrh Consultoria en RRHH / IT,"Buenos Aires, Provincia de Buenos Aires, Argentina",Hace 2 meses,Sin experiencia,Jornada completa,https://ar.linkedin.com/jobs/view/python-dev-at-staffrh-consultoria-en-rrhh-it-2288286333?refId=8bcdc8ba-6d97-46b5-8708-71c6856ce231&trackingId=EkGPdz36GeG%2BU6IDGwJG9g%3D%3D&position=16&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Servicios y tecnologías de la información ,Otro
Desarrollador Big Data (Python),TalentPro - Human Resources,"Buenos Aires, Provincia de Buenos Aires, Argentina",Hace 1 mes,Intermedio,Jornada completa,https://ar.linkedin.com/jobs/view/desarrollador-big-data-python-at-talentpro-human-resources-2272350171?refId=8bcdc8ba-6d97-46b5-8708-71c6856ce231&trackingId=bz%2FbEEcbDWGh0FY0L87rbA%3D%3D&position=15&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Servicios y tecnologías de la información ,Ingeniería
"Lead Python Engineer, Machine Learning",ASAPP,"Buenos Aires, Provincia de Buenos Aires, Argentina",Hace 4 semanas,Algo de responsabilidad,Jornada completa,https://ar.linkedin.com/jobs/view/lead-python-engineer-machine-learning-at-asapp-2295400332?refId=8bcdc8ba-6d97-46b5-8708-71c6856ce231&trackingId=VQ3%2BusgYPiuiMhorUf1nKA%3D%3D&position=17&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Servicios y tecnologías de la información ,Ingeniería
Python Software Developer,COHLEY,"Buenos Aires, Provincia de Buenos Aires, Argentina",Hace 2 meses,Sin experiencia,Jornada completa,https://ar.linkedin.com/jobs/view/python-software-developer-at-cohley-2287628548?refId=8bcdc8ba-6d97-46b5-8708-71c6856ce231&trackingId=XT5ON%2Bnvu0uLtCdpRvIrvA%3D%3D&position=10&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Marketing y publicidad,Ingeniería
Desarrollador Python Sr.,T-MOB,Buenos Aires y alrededores,Hace 1 semana,Algo de responsabilidad,Jornada completa,https://ar.linkedin.com/jobs/view/desarrollador-python-sr-at-t-mob-2314325912?refId=8bcdc8ba-6d97-46b5-8708-71c6856ce231&trackingId=q8vlAv%2B9xsJzYryHwORFFQ%3D%3D&position=12&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Servicios y tecnologías de la información ,Ingeniería
Data Scientist Ssr (python/R),Baires HR,"Buenos Aires, Provincia de Buenos Aires, Argentina",Hace 3 semanas,Intermedio,Jornada completa,https://ar.linkedin.com/jobs/view/data-scientist-ssr-python-r-at-baires-hr-2313387068?refId=8bcdc8ba-6d97-46b5-8708-71c6856ce231&trackingId=V0JPTgMi9qHIxmuFj7lnVQ%3D%3D&position=13&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Servicios y tecnologías de la información ,Ingeniería
Senior Python Engineer,GetWith,Buenos Aires y alrededores,Hace 2 semanas,Algo de responsabilidad,Jornada completa,https://ar.linkedin.com/jobs/view/senior-python-engineer-at-getwith-2300317917?refId=8bcdc8ba-6d97-46b5-8708-71c6856ce231&trackingId=lcWIaukUEzaCJhGw%2BG4qBA%3D%3D&position=14&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Internet,Ingeniería
Data & Applied Scientist,Microsoft,Argentina,Hace 2 semanas,No corresponde,Jornada completa,https://ar.linkedin.com/jobs/view/data-applied-scientist-at-microsoft-2320332293?refId=0cb4cb89-b2db-415f-a88c-2104bdddeafe&trackingId=DPO%2B%2F3NqkkiMSEMrgNR%2BEg%3D%3D&position=22&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Equipos informáticos,Otro
Consultor/a Junior para Evaluación de Riesgos Financieros,EY,"Buenos Aires, Provincia de Buenos Aires, Argentina",Hace 2 semanas,Sin experiencia,Jornada completa,https://ar.linkedin.com/jobs/view/consultor-a-junior-para-evaluaci%C3%B3n-de-riesgos-financieros-at-ey-2322529987?refId=0cb4cb89-b2db-415f-a88c-2104bdddeafe&trackingId=vLQpt3dQqxc9Jr931ZcC0w%3D%3D&position=23&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Contabilidad,Educación
